report_id,tpcds_id,instance_id,template_id,query_id,sql
1,1,0,1,1,"create table subquery62681 as SELECT sr_customer_sk AS ctr_customer_sk, sr_store_sk AS ctr_store_sk, SUM(SR_FEE) AS ctr_total_return FROM store_returns, date_dim WHERE sr_returned_date_sk = d_date_sk AND d_year = 2000 GROUP BY sr_customer_sk, sr_store_sk"
1,1,0,2,2,"create table subquery63430 as with customer_total_return AS (select * from subquery62681) SELECT c_customer_id FROM customer_total_return AS ctr1, store, customer WHERE ctr1.ctr_total_return > (SELECT AVG(ctr_total_return) * 1.2 FROM customer_total_return AS ctr2 WHERE ctr1.ctr_store_sk = ctr2.ctr_store_sk) AND s_store_sk = ctr1.ctr_store_sk AND s_state = 'TN' AND ctr1.ctr_customer_sk = c_customer_sk ORDER BY c_customer_id"
1,1,0,3,3,WITH customer_total_return AS (select * from subquery62681) SELECT * FROM (select * from subquery63430) WHERE rownum <= 100
1,2,0,4,4,"create table subquery316538 as SELECT cs_sold_date_sk AS sold_date_sk, cs_ext_sales_price AS sales_price FROM catalog_sales"
1,2,0,5,5,"create table subquery679991 as SELECT ws_sold_date_sk AS sold_date_sk, ws_ext_sales_price AS sales_price FROM web_sales"
1,2,0,6,6,"create table subquery340315 as SELECT sold_date_sk, sales_price FROM (select * from subquery679991 UNION ALL select * from subquery316538)"
1,2,0,7,7,"create table subquery698991 as with wscs AS (select * from subquery340315) SELECT d_week_seq, SUM(CASE WHEN (d_day_name = 'Sunday') THEN sales_price ELSE NULL END) AS sun_sales, SUM(CASE WHEN (d_day_name = 'Monday') THEN sales_price ELSE NULL END) AS mon_sales, SUM(CASE WHEN (d_day_name = 'Tuesday') THEN sales_price ELSE NULL END) AS tue_sales, SUM(CASE WHEN (d_day_name = 'Wednesday') THEN sales_price ELSE NULL END) AS wed_sales, SUM(CASE WHEN (d_day_name = 'Thursday') THEN sales_price ELSE NULL END) AS thu_sales, SUM(CASE WHEN (d_day_name = 'Friday') THEN sales_price ELSE NULL END) AS fri_sales, SUM(CASE WHEN (d_day_name = 'Saturday') THEN sales_price ELSE NULL END) AS sat_sales FROM wscs, date_dim WHERE d_date_sk = sold_date_sk GROUP BY d_week_seq"
1,2,0,8,8,"WITH wscs AS (select * from subquery340315), wswscs AS (select * from subquery698991) SELECT d_week_seq1, ROUND(sun_sales1 / sun_sales2, 2), ROUND(mon_sales1 / mon_sales2, 2), ROUND(tue_sales1 / tue_sales2, 2), ROUND(wed_sales1 / wed_sales2, 2), ROUND(thu_sales1 / thu_sales2, 2), ROUND(fri_sales1 / fri_sales2, 2), ROUND(sat_sales1 / sat_sales2, 2) FROM (SELECT wswscs.d_week_seq AS d_week_seq1, sun_sales AS sun_sales1, mon_sales AS mon_sales1, tue_sales AS tue_sales1, wed_sales AS wed_sales1, thu_sales AS thu_sales1, fri_sales AS fri_sales1, sat_sales AS sat_sales1 FROM wswscs, date_dim WHERE date_dim.d_week_seq = wswscs.d_week_seq AND d_year = 1998) AS y, (SELECT wswscs.d_week_seq AS d_week_seq2, sun_sales AS sun_sales2, mon_sales AS mon_sales2, tue_sales AS tue_sales2, wed_sales AS wed_sales2, thu_sales AS thu_sales2, fri_sales AS fri_sales2, sat_sales AS sat_sales2 FROM wswscs, date_dim WHERE date_dim.d_week_seq = wswscs.d_week_seq AND d_year = 1998 + 1) AS z WHERE d_week_seq1 = d_week_seq2 - 53 ORDER BY d_week_seq1"
1,3,0,9,9,"create table subquery806399 as SELECT dt.d_year, item.i_brand_id AS brand_id, item.i_brand AS brand, SUM(ss_sales_price) AS sum_agg FROM date_dim AS dt, store_sales, item WHERE dt.d_date_sk = store_sales.ss_sold_date_sk AND store_sales.ss_item_sk = item.i_item_sk AND item.i_manufact_id = 816 AND dt.d_moy = 11 GROUP BY dt.d_year, item.i_brand, item.i_brand_id ORDER BY dt.d_year, sum_agg DESC, brand_id"
1,3,0,10,10,SELECT * FROM (select * from subquery806399) WHERE rownum <= 100
1,4,0,11,11,"create table subquery216086 as SELECT c_customer_id AS customer_id, c_first_name AS customer_first_name, c_last_name AS customer_last_name, c_preferred_cust_flag AS customer_preferred_cust_flag, c_birth_country AS customer_birth_country, c_login AS customer_login, c_email_address AS customer_email_address, d_year AS dyear, SUM((((ws_ext_list_price - ws_ext_wholesale_cost - ws_ext_discount_amt) + ws_ext_sales_price) / 2)) AS year_total, 'w' AS sale_type FROM customer, web_sales, date_dim WHERE c_customer_sk = ws_bill_customer_sk AND ws_sold_date_sk = d_date_sk GROUP BY c_customer_id, c_first_name, c_last_name, c_preferred_cust_flag, c_birth_country, c_login, c_email_address, d_year"
1,4,0,12,12,"create table subquery500545 as SELECT c_customer_id AS customer_id, c_first_name AS customer_first_name, c_last_name AS customer_last_name, c_preferred_cust_flag AS customer_preferred_cust_flag, c_birth_country AS customer_birth_country, c_login AS customer_login, c_email_address AS customer_email_address, d_year AS dyear, SUM((((cs_ext_list_price - cs_ext_wholesale_cost - cs_ext_discount_amt) + cs_ext_sales_price) / 2)) AS year_total, 'c' AS sale_type FROM customer, catalog_sales, date_dim WHERE c_customer_sk = cs_bill_customer_sk AND cs_sold_date_sk = d_date_sk GROUP BY c_customer_id, c_first_name, c_last_name, c_preferred_cust_flag, c_birth_country, c_login, c_email_address, d_year"
1,4,0,13,13,"create table subquery770297 as SELECT c_customer_id AS customer_id, c_first_name AS customer_first_name, c_last_name AS customer_last_name, c_preferred_cust_flag AS customer_preferred_cust_flag, c_birth_country AS customer_birth_country, c_login AS customer_login, c_email_address AS customer_email_address, d_year AS dyear, SUM(((ss_ext_list_price - ss_ext_wholesale_cost - ss_ext_discount_amt) + ss_ext_sales_price) / 2) AS year_total, 's' AS sale_type FROM customer, store_sales, date_dim WHERE c_customer_sk = ss_customer_sk AND ss_sold_date_sk = d_date_sk GROUP BY c_customer_id, c_first_name, c_last_name, c_preferred_cust_flag, c_birth_country, c_login, c_email_address, d_year"
1,4,0,14,14,"create table subquery648242 as with year_total AS (select * from subquery770297 UNION ALL select * from subquery500545 UNION ALL select * from subquery216086) SELECT t_s_secyear.customer_id, t_s_secyear.customer_first_name, t_s_secyear.customer_last_name, t_s_secyear.customer_birth_country FROM year_total AS t_s_firstyear, year_total AS t_s_secyear, year_total AS t_c_firstyear, year_total AS t_c_secyear, year_total AS t_w_firstyear, year_total AS t_w_secyear WHERE t_s_secyear.customer_id = t_s_firstyear.customer_id AND t_s_firstyear.customer_id = t_c_secyear.customer_id AND t_s_firstyear.customer_id = t_c_firstyear.customer_id AND t_s_firstyear.customer_id = t_w_firstyear.customer_id AND t_s_firstyear.customer_id = t_w_secyear.customer_id AND t_s_firstyear.sale_type = 's' AND t_c_firstyear.sale_type = 'c' AND t_w_firstyear.sale_type = 'w' AND t_s_secyear.sale_type = 's' AND t_c_secyear.sale_type = 'c' AND t_w_secyear.sale_type = 'w' AND t_s_firstyear.dyear = 1999 AND t_s_secyear.dyear = 1999 + 1 AND t_c_firstyear.dyear = 1999 AND t_c_secyear.dyear = 1999 + 1 AND t_w_firstyear.dyear = 1999 AND t_w_secyear.dyear = 1999 + 1 AND t_s_firstyear.year_total > 0 AND t_c_firstyear.year_total > 0 AND t_w_firstyear.year_total > 0 AND CASE WHEN t_c_firstyear.year_total > 0 THEN t_c_secyear.year_total / t_c_firstyear.year_total ELSE NULL END > CASE WHEN t_s_firstyear.year_total > 0 THEN t_s_secyear.year_total / t_s_firstyear.year_total ELSE NULL END AND CASE WHEN t_c_firstyear.year_total > 0 THEN t_c_secyear.year_total / t_c_firstyear.year_total ELSE NULL END > CASE WHEN t_w_firstyear.year_total > 0 THEN t_w_secyear.year_total / t_w_firstyear.year_total ELSE NULL END ORDER BY t_s_secyear.customer_id, t_s_secyear.customer_first_name, t_s_secyear.customer_last_name, t_s_secyear.customer_birth_country"
1,4,0,15,15,WITH year_total AS (select * from subquery770297 UNION ALL select * from subquery500545 UNION ALL select * from subquery216086) SELECT * FROM (select * from subquery648242) WHERE rownum <= 100
1,5,0,16,16,"create table subquery744253 as SELECT sr_store_sk AS store_sk, sr_returned_date_sk AS date_sk, CAST(0 AS DECIMAL(7, 2)) AS sales_price, CAST(0 AS DECIMAL(7, 2)) AS profit, sr_return_amt AS return_amt, sr_net_loss AS net_loss FROM store_returns"
1,5,0,17,17,"create table subquery975925 as SELECT ss_store_sk AS store_sk, ss_sold_date_sk AS date_sk, ss_ext_sales_price AS sales_price, ss_net_profit AS profit, CAST(0 AS DECIMAL(7, 2)) AS return_amt, CAST(0 AS DECIMAL(7, 2)) AS net_loss FROM store_sales"
1,5,0,18,18,"create table subquery63206 as SELECT s_store_id, SUM(sales_price) AS sales, SUM(profit) AS profit, SUM(return_amt) AS returns, SUM(net_loss) AS profit_loss FROM (select * from subquery975925 UNION ALL select * from subquery744253) AS salesreturns, date_dim, store WHERE date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-19' AS DATE) AND (CAST('2000-08-19' AS DATE) + 14) AND store_sk = s_store_sk GROUP BY s_store_id"
1,5,0,19,19,"create table subquery583138 as SELECT cr_catalog_page_sk AS page_sk, cr_returned_date_sk AS date_sk, CAST(0 AS DECIMAL(7, 2)) AS sales_price, CAST(0 AS DECIMAL(7, 2)) AS profit, cr_return_amount AS return_amt, cr_net_loss AS net_loss FROM catalog_returns"
1,5,0,20,20,"create table subquery154491 as SELECT cs_catalog_page_sk AS page_sk, cs_sold_date_sk AS date_sk, cs_ext_sales_price AS sales_price, cs_net_profit AS profit, CAST(0 AS DECIMAL(7, 2)) AS return_amt, CAST(0 AS DECIMAL(7, 2)) AS net_loss FROM catalog_sales"
1,5,0,21,21,"create table subquery800190 as SELECT cp_catalog_page_id, SUM(sales_price) AS sales, SUM(profit) AS profit, SUM(return_amt) AS returns, SUM(net_loss) AS profit_loss FROM (select * from subquery154491 UNION ALL select * from subquery583138) AS salesreturns, date_dim, catalog_page WHERE date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-19' AS DATE) AND (CAST('2000-08-19' AS DATE) + 14) AND page_sk = cp_catalog_page_sk GROUP BY cp_catalog_page_id"
1,5,0,22,22,"create table subquery283166 as SELECT ws_web_site_sk AS wsr_web_site_sk, wr_returned_date_sk AS date_sk, CAST(0 AS DECIMAL(7, 2)) AS sales_price, CAST(0 AS DECIMAL(7, 2)) AS profit, wr_return_amt AS return_amt, wr_net_loss AS net_loss FROM web_returns LEFT OUTER JOIN web_sales ON (wr_item_sk = ws_item_sk AND wr_order_number = ws_order_number)"
1,5,0,23,23,"create table subquery403838 as SELECT ws_web_site_sk AS wsr_web_site_sk, ws_sold_date_sk AS date_sk, ws_ext_sales_price AS sales_price, ws_net_profit AS profit, CAST(0 AS DECIMAL(7, 2)) AS return_amt, CAST(0 AS DECIMAL(7, 2)) AS net_loss FROM web_sales"
1,5,0,24,24,"create table subquery218377 as SELECT web_site_id, SUM(sales_price) AS sales, SUM(profit) AS profit, SUM(return_amt) AS returns, SUM(net_loss) AS profit_loss FROM (select * from subquery403838 UNION ALL select * from subquery283166) AS salesreturns, date_dim, web_site WHERE date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-19' AS DATE) AND (CAST('2000-08-19' AS DATE) + 14) AND wsr_web_site_sk = web_site_sk GROUP BY web_site_id"
1,5,0,25,25,"create table subquery7683 as with wsr AS (select * from subquery218377) SELECT 'web channel' AS channel, 'web_site' || web_site_id AS id, sales, returns, (profit - profit_loss) AS profit FROM wsr"
1,5,0,26,26,"create table subquery294980 as with csr AS (select * from subquery800190) SELECT 'catalog channel' AS channel, 'catalog_page' || cp_catalog_page_id AS id, sales, returns, (profit - profit_loss) AS profit FROM csr"
1,5,0,27,27,"create table subquery881262 as with ssr AS (select * from subquery63206) SELECT 'store channel' AS channel, 'store' || s_store_id AS id, sales, returns, (profit - profit_loss) AS profit FROM ssr"
1,5,0,28,28,"create table subquery756425 as with ssr AS (select * from subquery63206), csr AS (select * from subquery800190), wsr AS (select * from subquery218377) SELECT channel, id, SUM(sales) AS sales, SUM(returns) AS returns, SUM(profit) AS profit FROM (select * from subquery881262 UNION ALL select * from subquery294980 UNION ALL select * from subquery7683) AS x GROUP BY ROLLUP(channel, id) ORDER BY channel, id"
1,5,0,29,29,"WITH ssr AS (select * from subquery63206), csr AS (select * from subquery800190), wsr AS (select * from subquery218377) SELECT * FROM (select * from subquery756425) WHERE rownum <= 100"
2,6,0,30,30,create table subquery972383 as SELECT DISTINCT (d_month_seq) FROM date_dim WHERE d_year = 2002 AND d_moy = 3
2,6,0,31,31,"create table subquery647785 as SELECT a.ca_state AS state, COUNT(*) AS cnt FROM customer_address AS a, customer AS c, store_sales AS s, date_dim AS d, item AS i WHERE a.ca_address_sk = c.c_current_addr_sk AND c.c_customer_sk = s.ss_customer_sk AND s.ss_sold_date_sk = d.d_date_sk AND s.ss_item_sk = i.i_item_sk AND d.d_month_seq = (select * from subquery972383) AND i.i_current_price > 1.2 * (SELECT AVG(j.i_current_price) FROM item AS j WHERE j.i_category = i.i_category) GROUP BY a.ca_state HAVING COUNT(*) >= 10 ORDER BY cnt, a.ca_state"
2,6,0,32,32,SELECT * FROM (select * from subquery647785) WHERE rownum <= 100
2,7,0,33,33,"create table subquery343189 as SELECT i_item_id, AVG(ss_quantity) AS agg1, AVG(ss_list_price) AS agg2, AVG(ss_coupon_amt) AS agg3, AVG(ss_sales_price) AS agg4 FROM store_sales, customer_demographics, date_dim, item, promotion WHERE ss_sold_date_sk = d_date_sk AND ss_item_sk = i_item_sk AND ss_cdemo_sk = cd_demo_sk AND ss_promo_sk = p_promo_sk AND cd_gender = 'F' AND cd_marital_status = 'W' AND cd_education_status = 'College' AND (p_channel_email = 'N' OR p_channel_event = 'N') AND d_year = 2001 GROUP BY i_item_id ORDER BY i_item_id"
2,7,0,34,34,SELECT * FROM (select * from subquery343189) WHERE rownum <= 100
2,8,0,35,35,"create table subquery584591 as SELECT SUBSTR(ca_zip, 1, 5) AS ca_zip, COUNT(*) AS cnt FROM customer_address, customer WHERE ca_address_sk = c_current_addr_sk AND c_preferred_cust_flag = 'Y' GROUP BY ca_zip HAVING COUNT(*) > 10"
2,8,0,36,36,create table subquery420219 as SELECT ca_zip FROM (select * from subquery584591) AS A1
2,8,0,37,37,"create table subquery459404 as SELECT SUBSTR(ca_zip, 1, 5) AS ca_zip FROM customer_address WHERE SUBSTR(ca_zip, 1, 5) IN ('41967', '48333', '50788', '17879', '75660', '55349', '24660', '14440', '43933', '18410', '24286', '24227', '68341', '83833', '24594', '53565', '42361', '58581', '11340', '43432', '41255', '58062', '62361', '17291', '68770', '19444', '80332', '75752', '48017', '60736', '57631', '41232', '70041', '45645', '49472', '59004', '10374', '17819', '98584', '24891', '14312', '45484', '12350', '23065', '22911', '81070', '93498', '28055', '88137', '81755', '81963', '54558', '51933', '67975', '79658', '52868', '78093', '17167', '14196', '89338', '81084', '13443', '86379', '43639', '86057', '46507', '98072', '35926', '72592', '83583', '83041', '65501', '83647', '52094', '25973', '18569', '38607', '41331', '28239', '25333', '33773', '81335', '58032', '59345', '66943', '16515', '34306', '90669', '26689', '47602', '32489', '18360', '20534', '83910', '58454', '27385', '45676', '49254', '29392', '25178', '12197', '56355', '96435', '21231', '51766', '16226', '57553', '41351', '51717', '32669', '92292', '25115', '33869', '73219', '21094', '68101', '53163', '45266', '49211', '20244', '36335', '14530', '16704', '94835', '88086', '22815', '16891', '95464', '83986', '73146', '47529', '56436', '29818', '14073', '50679', '56877', '39459', '21204', '60083', '17895', '56224', '25214', '49101', '24255', '59080', '10298', '13376', '61527', '25494', '52389', '18434', '50636', '27700', '55233', '47289', '69280', '58058', '79077', '16791', '18829', '17672', '92380', '84844', '18884', '45533', '98069', '11912', '62585', '49140', '54010', '63991', '30621', '39503', '97173', '35390', '78366', '89193', '46081', '34948', '58412', '18421', '16005', '14155', '41162', '61794', '60624', '12318', '95430', '50412', '27116', '39214', '33159', '11686', '47369', '16364', '33562', '70073', '63073', '68852', '73108', '23952', '71997', '74686', '17193', '69952', '27156', '71144', '81504', '84247', '40979', '65148', '11855', '64592', '60560', '34972', '46131', '57025', '35834', '57649', '31013', '26217', '51195', '11489', '12320', '63180', '70450', '84919', '94791', '69998', '36479', '82080', '41419', '41836', '86709', '48162', '13378', '68293', '29450', '98862', '61860', '99060', '59130', '51782', '68843', '92696', '18218', '31830', '91110', '13123', '11618', '21343', '36430', '83086', '85761', '33113', '13869', '82620', '71256', '56600', '98533', '63193', '34594', '39500', '21814', '95042', '38353', '59386', '53535', '63792', '20712', '71286', '49230', '36201', '18700', '27369', '13918', '63294', '54207', '14851', '27413', '14242', '18767', '19326', '90229', '73873', '88217', '98338', '37119', '71836', '80846', '13261', '65177', '71948', '58218', '75742', '77454', '52301', '75675', '43830', '41807', '29752', '32754', '35863', '73134', '98569', '15475', '19988', '10425', '96560', '21060', '13844', '90209', '66057', '67881', '22728', '70070', '11652', '29086', '18367')"
2,8,0,38,38,create table subquery158870 as SELECT ca_zip FROM (select * from subquery459404 INTERSECT select * from subquery420219) AS A2
2,8,0,39,39,"create table subquery392063 as SELECT s_store_name, SUM(ss_net_profit) FROM store_sales, date_dim, store, (select * from subquery158870) AS V1 WHERE ss_store_sk = s_store_sk AND ss_sold_date_sk = d_date_sk AND d_qoy = 2 AND d_year = 1998 AND (SUBSTR(s_zip, 1, 2) = SUBSTR(V1.ca_zip, 1, 2)) GROUP BY s_store_name ORDER BY s_store_name"
2,8,0,40,40,SELECT * FROM (select * from subquery392063) WHERE rownum <= 100
2,9,0,41,41,create table subquery375538 as SELECT COUNT(*) FROM store_sales WHERE ss_quantity BETWEEN 81 AND 100
2,9,0,42,42,create table subquery533791 as SELECT COUNT(*) FROM store_sales WHERE ss_quantity BETWEEN 61 AND 80
2,9,0,43,43,create table subquery602148 as SELECT COUNT(*) FROM store_sales WHERE ss_quantity BETWEEN 41 AND 60
2,9,0,44,44,create table subquery848788 as SELECT COUNT(*) FROM store_sales WHERE ss_quantity BETWEEN 21 AND 40
2,9,0,45,45,create table subquery154155 as SELECT COUNT(*) FROM store_sales WHERE ss_quantity BETWEEN 1 AND 20
2,9,0,46,46,create table subquery976383 as SELECT AVG(ss_ext_tax) FROM store_sales WHERE ss_quantity BETWEEN 81 AND 100
2,9,0,47,47,create table subquery421756 as SELECT AVG(ss_ext_tax) FROM store_sales WHERE ss_quantity BETWEEN 61 AND 80
2,9,0,48,48,create table subquery69021 as SELECT AVG(ss_ext_tax) FROM store_sales WHERE ss_quantity BETWEEN 41 AND 60
2,9,0,49,49,create table subquery884915 as SELECT AVG(ss_ext_tax) FROM store_sales WHERE ss_quantity BETWEEN 21 AND 40
2,9,0,50,50,create table subquery899563 as SELECT AVG(ss_ext_tax) FROM store_sales WHERE ss_quantity BETWEEN 1 AND 20
2,9,0,51,51,create table subquery391814 as SELECT AVG(ss_net_paid_inc_tax) FROM store_sales WHERE ss_quantity BETWEEN 81 AND 100
2,9,0,52,52,create table subquery86330 as SELECT AVG(ss_net_paid_inc_tax) FROM store_sales WHERE ss_quantity BETWEEN 61 AND 80
2,9,0,53,53,create table subquery186005 as SELECT AVG(ss_net_paid_inc_tax) FROM store_sales WHERE ss_quantity BETWEEN 41 AND 60
2,9,0,54,54,create table subquery515861 as SELECT AVG(ss_net_paid_inc_tax) FROM store_sales WHERE ss_quantity BETWEEN 21 AND 40
2,9,0,55,55,create table subquery693238 as SELECT AVG(ss_net_paid_inc_tax) FROM store_sales WHERE ss_quantity BETWEEN 1 AND 20
2,9,0,56,56,"SELECT CASE WHEN (select * from subquery154155) > 1071 THEN (select * from subquery899563) ELSE (select * from subquery693238) END AS bucket1, CASE WHEN (select * from subquery848788) > 39161 THEN (select * from subquery884915) ELSE (select * from subquery515861) END AS bucket2, CASE WHEN (select * from subquery602148) > 29434 THEN (select * from subquery69021) ELSE (select * from subquery186005) END AS bucket3, CASE WHEN (select * from subquery533791) > 6568 THEN (select * from subquery421756) ELSE (select * from subquery86330) END AS bucket4, CASE WHEN (select * from subquery375538) > 21216 THEN (select * from subquery976383) ELSE (select * from subquery391814) END AS bucket5 FROM reason WHERE r_reason_sk = 1"
2,10,0,57,57,"create table subquery57349 as SELECT cd_gender, cd_marital_status, cd_education_status, COUNT(*) AS cnt1, cd_purchase_estimate, COUNT(*) AS cnt2, cd_credit_rating, COUNT(*) AS cnt3, cd_dep_count, COUNT(*) AS cnt4, cd_dep_employed_count, COUNT(*) AS cnt5, cd_dep_college_count, COUNT(*) AS cnt6 FROM customer AS c, customer_address AS ca, customer_demographics WHERE c.c_current_addr_sk = ca.ca_address_sk AND ca_county IN ('Escambia County', 'Campbell County') AND cd_demo_sk = c.c_current_cdemo_sk AND EXISTS(SELECT * FROM store_sales, date_dim WHERE c.c_customer_sk = ss_customer_sk AND ss_sold_date_sk = d_date_sk AND d_year = 2001 AND d_moy BETWEEN 3 AND 3 + 3) AND (EXISTS(SELECT * FROM web_sales, date_dim WHERE c.c_customer_sk = ws_bill_customer_sk AND ws_sold_date_sk = d_date_sk AND d_year = 2001 AND d_moy BETWEEN 3 AND 3 + 3) OR EXISTS(SELECT * FROM catalog_sales, date_dim WHERE c.c_customer_sk = cs_ship_customer_sk AND cs_sold_date_sk = d_date_sk AND d_year = 2001 AND d_moy BETWEEN 3 AND 3 + 3)) GROUP BY cd_gender, cd_marital_status, cd_education_status, cd_purchase_estimate, cd_credit_rating, cd_dep_count, cd_dep_employed_count, cd_dep_college_count ORDER BY cd_gender, cd_marital_status, cd_education_status, cd_purchase_estimate, cd_credit_rating, cd_dep_count, cd_dep_employed_count, cd_dep_college_count"
2,10,0,58,58,SELECT * FROM (select * from subquery57349) WHERE rownum <= 100
3,11,0,59,59,"create table subquery426966 as SELECT c_customer_id AS customer_id, c_first_name AS customer_first_name, c_last_name AS customer_last_name, c_preferred_cust_flag AS customer_preferred_cust_flag, c_birth_country AS customer_birth_country, c_login AS customer_login, c_email_address AS customer_email_address, d_year AS dyear, SUM(ws_ext_list_price - ws_ext_discount_amt) AS year_total, 'w' AS sale_type FROM customer, web_sales, date_dim WHERE c_customer_sk = ws_bill_customer_sk AND ws_sold_date_sk = d_date_sk GROUP BY c_customer_id, c_first_name, c_last_name, c_preferred_cust_flag, c_birth_country, c_login, c_email_address, d_year"
